time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/9/2022 0:03:09,1,15,5,全ての辺を用いて経路更新を行う操作を頂点の数(-1)回行うことで最短経路を求めるというベルマンフォード法の重要な考え方が表されていると考えたため．,6,全ての辺を用いて経路更新を行う操作を頂点の数(-1)回行うことで最短経路を求めるというベルマンフォード法の重要な考え方が表されていると考えたため選択した．一方で，頂点の数-1回の更新で済むという部分は1番目で表されているため，こちらは2番目とした．,9,"負の閉路がなければ，最短経路の更新はV-1回で終了することを用いて負の閉路を検出する箇所であり，負の閉路があるような設定では重要だと考えた．最短経路を求めるという点において1,2番目の方がより重要と考え，3番目とした．",,とても理解できた。,
12/30/2022 21:03:04,10,15,9,ベルマン・フォード法において負の閉路の検知することがとても重要だと思ったため。,8,1番に気をつけた上で、全ての辺に対してdistの更新を行う部分が、重要だと思った,6,1番2番に気をつけた上で、ダイクストラと違い、全ての辺に対しての計算を毎回行うことが重要だと思った。,,まあ理解できた。,
1/3/2023 6:38:04,11,15,7,その辺を選んだ時両端のノードの情報がどう変わるかという，辺の重みの更新方針がわかる一行だと思えるからです．,5,全てのノードを出発点にして同じ操作をするということが表れている箇所だから．ノードの情報が書き変わる部分の方がなんとなく重要に感じてしまいました．,9,負閉路がないか確認できる嬉しい箇所であるから．最短経路検出できない->負閉路という順序であり，主役は最短経路の方だと感じるので3番目です．,,とても理解できた。,
12/16/2022 22:01:07,2,15,7,ぐるぐる回して最短距離が更新できるなら更新する、というアルゴリズムなので、距離更新できるかを見ている行が重要だと考えた。,9,V回ぐるぐる回しても最短距離の更新が起こる場合は負のサイクルがあるという意味なので、その検出を行っている行が次に重要であると考えた。,6,ぐるぐる回す部分でグラフの辺を全部見ている部分なので、直接的ではないが、残りの行の中では一番重要だと考えた。,,とても理解できた。,
12/15/2022 19:57:57,3,15,23,この問題のコアは、厳密にいえば単一始点でちょっと手を加えて解けることなので。,5,ベルマンフォードの本質は探索順序だと思うが、ここの中継点でループを回すところで、扱うノードによる集合を大きくしていっているから。,8,ベルマンフォード法で実際に遷移を行っている部分がここだから。,,とても理解できた。,
12/21/2022 14:35:06,4,15,8,距離を更新できれば更新するというベルマンフォード法の本質的な処理だから。,9,NEGATIVE CYCLEの検出をこの条件で行えるのがベルマンフォード法の大事なところだから。ただ最短経路というところには関係ない。,14,辿り着けないとき判定と処理も大事だから。ただ、処理は単純である。,,とても理解できた。,
12/28/2022 17:29:26,5,15,5,Dijkstra法やBFSなどとベルマンフォード法との大きな差異は、V回のループを回すことだと考えているため、この部分が最も如実に現れた5行目が最重要だと考えた。,9,この問題では、負の閉路検出のためにベルマンフォード法を採用している。したがって、「i回目のループで頂点の更新が起きた」という条件を表している9行目が2番目に重要だと考えた。最重要としなかったのは、9行目の把握のためにはV回ループを回すことを理解している必要があるため。,7,メモの更新という基本的なテクニックであるため上2つと比較して重要性は低いが、最短距離の更新がどのように行われているのかは重要だと考えた。,,とても理解できた。,
12/14/2022 15:32:16,6,15,8,最短距離の更新を実際に行っている部分であり、ベルマンフォード法の根幹。,7,最短距離の更新条件が示されている行であり、1 番に対し従たる部分である。,5,高々頂点数回分のループで距離の更新が完了することを示す、プログラムの停止性に関わる部分。1 番、2 番ほどは直接答えに関係しない。,,とても理解できた。,
12/15/2022 2:01:12,7,15,23,この問題を解くために，ベルマンフォード法と呼ばれるアルゴリズムを用いれば良いということがこの行から読み取れるから．,7,"ループの中でどのような条件を満たせば値の更新を行なっていくのかということがこの行で現れているから．
1番でない理由としては，これはベルマンフォード法の一部分であり，この部分だけからではアルゴリズム全体を把握できるわけではないから．",9,"どのように負の経路を見つけるかということがこの条件文に書かれているから．
3番である理由は，負の経路があることは例外的なものであり，問題全体的に関係する部分ではないから．",,まあ理解できた。,
12/18/2022 1:29:31,8,15,8,ベルマンフォード法で距離の更新を行なっている重要な記述だから。,9,負の値を持つ閉路ができているときに検知するという大事なところだから。必ずしも使われるところではないので2番とした。,2,距離を十分に大きな値で初期化しておくのはベルマンフォード法を実行するにあたって重要だから。アルゴリズムの本質ではないので3番にした。,,とても理解できた。,
12/20/2022 1:53:01,9,15,8,最短経路を更新する行であり、ここがないと最短経路が更新されず、アルゴリズムが全く動作しないから。,7,最短経路の更新条件を表す行であり、条件を間違えると正しく動作しないから。最短経路の更新の操作を直接行う行ではないため、重要度は2番目と考えている。,9,負閉路検出条件を表している行であるから。負閉路は検出が行われない場合もあるため、前2つに比べると重要度は下がると考えている。,,とても理解できた。,
